symbol,product_type,put_call,strike,net_position,price,currency,multiplier,maturity_date
JBSS3,OP,C,35.73,30400,0.6221940517,BRL,1,2021-7-12
BRML3,OP,P,8.6,-2500,0.9318381548,BRL,1,2021-7-12
EQTL,OP,P,22.28,27000,0.3851621449,BRL,1,2021-7-12
EMBR3,OP,P,23,900,4.771347523,BRL,1,2022-1-1
PETR4,OP,C,29.1,776200,2.125907183,BRL,1,2022-1-1
VIVT3,OP,C,45.38,700,4.861895561,BRL,1,2021-7-12
EQTL,OP,C,24.5,-21900,0.5176577568,BRL,1,2022-1-1
BRAP4,OP,P,44.66,-3200,0.3693399131,BRL,1,2021-7-12
LAME4,OP,P,7.7,-1000,2.548815012,BRL,1,2021-7-12
PETR4,OP,C,15.99,6200,13.60256004,BRL,1,2021-7-12
ITUB4,OP,C,22.49,600,1.207618713,BRL,1,2022-1-1
ABEV,OP,P,21.82,-1200,5.817230225,BRL,1,2021-7-12
CIEL3,OP,P,3.76,0,1.72211504,BRL,1,2021-7-12
HYPE3,OP,P,26.5,3000,0.9587971568,BRL,1,2022-1-1
CSNA,OP,C,52.35,-1000,,BRL,1,2021-1-5
ELET3,OP,P,34.05,20000,2.373879671,BRL,1,2022-1-1
ITUB4,OP,P,22.24,-152400,0.8592927456,BRL,1,2022-1-1
CSNA,OP,C,23.98,4900,0.3805238008,BRL,1,2021-7-12
PETR4,OP,C,26.35,3000,4.063314915,BRL,1,2022-1-1
EMBR3,OP,C,32.5,-100,0.008122634143,BRL,1,2021-7-12
VALE3,OP,P,84.61,-5000,13.91379452,BRL,1,2022-4-4
VALE3,OP,P,64.47,38200,1.841153622,BRL,1,2022-1-1
ABEV,OP,P,12.57,8600,0.007303067017,BRL,1,2021-7-12
B3SA3,OP,P,20.06,11100,8.847515106,BRL,1,2021-7-12
PETR4,OP,P,20.99,-93300,0.04891353101,BRL,1,2021-7-12
HYPE3,OP,P,29.5,9800,2.69807744,BRL,1,2022-1-1
MGLU3,OP,C,14.49,-106800,0.006282565184,BRL,1,2021-7-12
CSNA,OP,P,24.73,9700,3.066178322,BRL,1,2021-7-12
YDUQ3,OP,C,25,104400,0.2507336736,BRL,1,2021-7-12
BRKM5,OP,C,50,-1800,6.091347218,BRL,1,2022-1-1
VALE3,OP,P,51.97,103500,0.09103862941,BRL,1,2021-7-12
BBAS,OP,C,30.37,7400,1.861996055,BRL,1,2021-7-12
VIVT3,OP,C,50.5,1000,1.453910589,BRL,1,2022-1-1
EMBR3,OP,C,25.5,27000,0.03658432886,BRL,1,2021-7-12
PCAR3,OP,C,25,34800,0.4641060829,BRL,1,2022-1-1
ABEV,OP,C,15.25,-1400,1.261848211,BRL,1,2022-1-1
ELET3,OP,C,29.05,-100,4.068757057,BRL,1,2021-7-12
MGLU3,OP,P,24.99,30400,17.89045906,BRL,1,2021-7-12
SPY,ST,,,-3300,455.2700195,USD,1,
BRAP4,OP,C,54.66,71900,0.4047929347,BRL,1,2021-7-12
B3SA3,OP,P,13.06,151000,1.908301353,BRL,1,2021-7-12
VIVT3,OP,P,43.38,12300,0.07562913746,BRL,1,2021-7-12
SMH,ST,,,2957,308.2849731,USD,1,
MGLU3,OP,C,8.79,-30100,0.1007542536,BRL,1,2021-7-12
LAME4,OP,C,6.9,-400,0.02791057341,BRL,1,2021-7-12
MRFG,OP,C,29.1,63600,0.01002650522,BRL,1,2021-7-12
GE,OP,P,85,26,0.5882431865,USD,100,2021-7-12
