symbol_underlying,symbol,product_type,put_call,strike,net_position,price,currency,multiplier,maturity_date
BRFS3,BRF3E,OP,P,17,-200,0.16,BRL,1,2021-7-12
AAPL,AAPL,OP,P,146,1154,0.59,USD,100,2021-7-12
BRAP4,BRA4A,OP,C,45.16,9600,5.29,BRL,1,2021-7-12
VIIA3,VIA3E,OP,P,19,21100,13.56,BRL,1,2022-1-1
USIM5,USIME,OP,P,14.82,-171000,1.57,BRL,1,2021-7-12
BRFS3,BRF3A,OP,C,27,-20000,0.01,BRL,1,2021-7-12
VALE3,VAL3E,OP,P,65.21,15400,4.41,BRL,1,2022-5-7
ELET3,ELE3E,OP,P,33.55,-4600,1.56,BRL,1,2021-7-12
ABEV3,ABV3E,OP,C,18.25,116700,0.13,BRL,1,2022-1-1
CSNA3,CSN3A,OP,C,23.23,11400,0.51,BRL,1,2021-7-12
HYPE,HYP3E,OP,P,26.47,2500,0.61,BRL,1,2021-7-12
VIIA3,VIA3E,OP,C,5.3,-14800,0.31,BRL,1,2021-7-12
CYRE3,CYR3A,OP,C,17.41,6300,0.02,BRL,1,2021-7-12
VALE3,VAL3A,OP,C,86.47,-15000,0.46,BRL,1,2022-1-1
BRAP4,BRA4A,OP,C,50.66,-20900,1.48,BRL,1,2021-7-12
BRFS3,BRF3E,OP,P,22,37400,2.79,BRL,1,2021-7-12
VIVT3,VVI3A,OP,C,45.38,700,4.79,BRL,1,2021-7-12
BRKM5,BRK5A,OP,C,55,-56600,1.57,BRL,1,2021-7-12
BOEI,BOEI,ST,,,2552,188.19,USD,1,
PCAR3,PCA3A,OP,C,26,5400,0.05,BRL,1,2021-7-12
RADL3,RAL3A,OP,C,22.9,41200,0.7,BRL,1,2022-1-1
PETR4,PTR4E,OP,C,24.99,60900,4.76,BRL,1,2021-7-12
EMBR3,EMB3A,OP,C,22,52500,0.15,BRL,1,2021-7-12
MGLU3,MGL3E,OP,P,6.79,-180700,0.45,BRL,1,2021-7-12
ITUB4,ITB4E,OP,P,27.16,-38000,4.84,BRL,1,2021-7-12
EQTL3,EQT3A,OP,C,26.03,11100,0.01,BRL,1,2021-7-12
VIIA3,VIA3A,OP,C,10,-122100,0.01,BRL,1,2021-7-12
EMBR3,EMB3E,OP,P,23.5,2700,5.19,BRL,1,2021-7-12
BBDC4,BDC4A,OP,C,23.55,-40500,0.01,BRL,1,2021-7-12
MGLU3,MGL3E,OP,P,9.89,24200,2.96,BRL,1,2022-1-1
BOV11,BOV9A,OP,C,98,-4083,4.26,BRL,1,2022-1-1
PETR4,PTR4E,OP,C,36.85,300,0.34,BRL,1,2022-8-2
EGIE1,EGE3A,OP,C,39,-3900,1.13,BRL,1,2022-1-1
