symbol_underlying,symbol,product_type,put_call,strike,net_position,price,currency,multiplier,maturity_date
EMBR3,EMB3A,OP,C,24.5,18000,0.05,BRL,1,2021-7-12
ABEV3,ABV3E,OP,P,21.82,15600,5.87,BRL,1,2021-7-12
UGPA3,UGP3E,OP,P,9.6,-100,0.01,BRL,1,2021-7-12
BBDC3,BDC3A,OP,C,16.99,6700,0.97,BRL,1,2022-1-1
CSNA3,CSN3A,OP,C,30,100,0.16,BRL,1,2022-1-1
CSNA3,CSN3E,OP,P,16.73,-11900,0.08,BRL,1,2021-7-12
KLBN1,KLB1A,OP,C,23.4,5900,1.15,BRL,1,2021-7-12
VALE3,VAL3E,OP,P,88.47,-14100,17.49,BRL,1,2022-1-1
MGLU3,MGL3E,OP,C,18.74,600,0.01,BRL,1,2022-1-1
BBDC3,BDC3A,OP,C,19.49,2500,0.19,BRL,1,2022-1-1
VALE3,VAL3E,OP,C,91.47,5500,0.03,BRL,1,2021-7-12
BRML3,BRM3E,OP,P,8,-39900,0.49,BRL,1,2021-7-12
RADL3,RAL3A,OP,C,23.4,1900,0.54,BRL,1,2022-1-1
MRFG3,MRFG3,ST,,,-27200,21.87,BRL,1,
BOV11,BOV9E,OP,C,107,12206,1.1,BRL,1,2022-1-1
JBSS3,JBS3A,OP,C,37.98,5300,0.67,BRL,1,2022-1-1
CSNA3,CSN3E,OP,P,17,200,0.36,BRL,1,2022-1-1
LAME4,LAM4A,OP,C,5.9,-23400,0.11,BRL,1,2021-7-12
YDUQ3,YDU3E,OP,P,25.5,5100,3.74,BRL,1,2021-7-12
BBAS3,BBASE,OP,C,32.46,-2500,1.31,BRL,1,2022-1-1
UNP,UNP,OP,P,210,383,0.765,USD,100,2021-7-12
VBBR3,VBB3E,OP,P,22.22,-31300,1.34,BRL,1,2021-7-12
BBAS3,BBASE,OP,P,40.12,24800,8.67,BRL,1,2021-7-12
MGLU3,MGL3A,OP,C,13.74,-24400,0.01,BRL,1,2021-7-12
ITUB4,ITB4E,OP,P,20.74,60000,0.44,BRL,1,2022-1-1
BBAS3,BBASE,OP,P,36.37,200,5,BRL,1,2021-7-12
MGLU3,MGL3A,OP,C,9.89,7200,0.04,BRL,1,2021-7-12
TAE11,TAE11,ST,,,33400,35.9,BRL,1,
GGBR4,GGB4E,OP,C,25.15,4700,1.68,BRL,1,2021-7-12
ITUB4,ITB4A,OP,C,19.24,-1700,3.49,BRL,1,2022-1-1
PETR4,PTR4E,OP,C,28.49,-32700,1.72,BRL,1,2021-7-12
XLI,XLI,OP,P,88,-1080,2.425,USD,100,2021-7-12
BBSE3,BBSE3,ST,,,25000,20.43,BRL,1,
BRKM5,BRK5E,OP,P,53,1200,3.72,BRL,1,2022-1-1
MGLU3,MGL3E,OP,C,18.49,11300,0.01,BRL,1,2021-7-12
CYRE3,CYR3A,OP,C,31.91,-3200,0.01,BRL,1,2021-7-12
BBAS3,BBASE,OP,P,29.62,900,0.44,BRL,1,2021-7-12
ITUB4,ITB4A,OP,C,22.16,-127300,0.74,BRL,1,2021-7-12
ABEV3,ABV3A,OP,C,16.57,-14400,0.18,BRL,1,2021-7-12
CSNA3,CSN3A,OP,C,21.5,-76000,1.98,BRL,1,2022-1-1
VIIA3,VIA3E,OP,P,12.75,-28200,7.4,BRL,1,2022-1-1
GOAU4,GOA4E,OP,P,11.26,200400,0.66,BRL,1,2021-7-12
MGLU3,MGL3E,OP,P,15.99,28600,9.05,BRL,1,2021-7-12
BBSE3,BBS3A,OP,C,24.5,117900,0.05,BRL,1,2022-1-1
MGLU3,MGL3E,OP,P,15.49,4100,8.42,BRL,1,2022-1-1
VIIA3,VIA3A,OP,C,6.6,-168600,0.16,BRL,1,2022-1-1
YDUQ3,YDU3E,OP,P,21,100,1.38,BRL,1,2022-1-1
PETR4,PTR4A,OP,C,26.24,-69500,3.58,BRL,1,2021-7-12
VIIA3,VIA3E,OP,P,9.9,400,4.66,BRL,1,2021-7-12
ABEV3,ABV3E,OP,C,16.65,-60000,0.74,BRL,1,2022-8-2
BBSE3,BBS3E,OP,C,23.73,200,0.02,BRL,1,2021-7-12
BBAS3,BBASE,OP,P,29.37,43300,0.39,BRL,1,2021-7-12
MGLU3,MGL3E,OP,P,6.29,173300,0.26,BRL,1,2021-7-12
PETR4,PTR4E,OP,C,8.49,35600,21.14,BRL,1,2021-7-12
VIIA3,VIA3E,OP,P,5.4,-53600,0.45,BRL,1,2021-7-12
MGLU3,MGL3E,OP,P,16.49,12500,9.41,BRL,1,2022-1-1
USIM5,USIMA,OP,C,18.82,5000,0.01,BRL,1,2021-7-12
PETR4,PTR4E,OP,C,30.99,-214700,0.49,BRL,1,2021-7-12
BRFS3,BRF3E,OP,P,20,-6600,1.19,BRL,1,2021-7-12
PETR4,PTR4E,OP,P,31.49,-10100,2.28,BRL,1,2021-7-12
XLV,XLV,ST,,,-16050,129.5,USD,1,
B3SA3,B3SAA,OP,C,16.56,-49300,0.01,BRL,1,2021-7-12
ELET6,ELE6E,OP,P,35,8600,3.05,BRL,1,2021-7-12
ITUB4,ITB4A,OP,C,21.74,203900,1.55,BRL,1,2022-1-1
VALE3,VAL3E,OP,P,78.47,15100,8.89,BRL,1,2022-1-1
USIM5,USIMA,OP,C,14.46,47000,0.77,BRL,1,2022-1-1
LAME4,LAM4A,OP,C,7.1,4100,0.03,BRL,1,2021-7-12
BBAS3,BBASA,OP,C,35.62,-8500,0.08,BRL,1,2021-7-12
GGBR4,GGB4E,OP,P,25.78,32900,1.37,BRL,1,2022-1-1
VALE3,VAL3E,OP,C,74.97,28200,0.93,BRL,1,2021-7-12
ABEV3,ABV3E,OP,P,13.57,4900,0.02,BRL,1,2021-7-12
ITSA4,ITSAE,OP,P,9.97,-183900,0.41,BRL,1,2021-7-12
PCAR3,PCA3A,OP,C,35,7000,0.01,BRL,1,2021-7-12
BBDC4,BDC4E,OP,P,19.41,65850,0.44,BRL,1,2021-7-12
LAME4,LAM4A,OP,C,6.2,2700,0.21,BRL,1,2022-1-1
EQTL3,EQT3E,OP,P,23.78,-16200,1.29,BRL,1,2021-7-12
BBDC3,BDC3E,OP,P,17.49,-2900,1.11,BRL,1,2022-1-1
MRFG3,MRF3A,OP,C,29.1,63600,0.01,BRL,1,2021-7-12
BRAP4,BRA4E,OP,P,48.66,8500,1.25,BRL,1,2021-7-12
JBSS3,JBS3A,OP,C,40.48,-18700,0.29,BRL,1,2022-1-1
JBSS3,JBS3E,OP,P,24.23,-500,0.01,BRL,1,2021-7-12
BBSE3,BBS3A,OP,C,23.5,2700,0.1,BRL,1,2022-1-1
BBAS3,BBASE,OP,P,30.62,53600,0.72,BRL,1,2021-7-12
BRML3,BRM3A,OP,C,8.8,11200,0.07,BRL,1,2021-7-12
RADL3,RAL3A,OP,C,22.37,-12000,0.46,BRL,1,2021-7-12
VALE3,VAL3E,OP,P,92.47,5500,21.28,BRL,1,2022-1-1
MGLU3,MGL3A,OP,C,7.29,-20000,0.37,BRL,1,2021-7-12
BRFS3,BRF3A,OP,C,22.25,29800,0.38,BRL,1,2022-1-1
CSNA3,CSN3E,OP,P,20.5,-10200,1.2,BRL,1,2022-1-1
PETR4,PTR4E,OP,P,27.85,43000,1.22,BRL,1,2022-8-2
VIIA3,VIA3E,OP,C,8.9,-10700,0.03,BRL,1,2022-1-1
VALE3,VAL3A,OP,C,99.47,-197300,0.01,BRL,1,2021-7-12
VIIA3,VIA3E,OP,C,8.3,-26600,0.01,BRL,1,2021-7-12
VALE3,VAL3E,OP,P,88.97,5600,17.95,BRL,1,2022-1-1
BBDC4,BDC4A,OP,C,11.41,10,8.56,BRL,1,2022-1-1
VALE3,VAL3A,OP,C,87.47,-5300,0.06,BRL,1,2021-7-12
VIIA3,VIA3E,OP,P,10,-500,4.76,BRL,1,2021-7-12
ITUB4,ITB4E,OP,P,23.66,-73300,1.53,BRL,1,2021-7-12
BBSE3,BBS3E,OP,P,21.73,5000,1.34,BRL,1,2021-7-12
VALE3,VAL3A,OP,C,80.47,236800,1.19,BRL,1,2022-1-1
CYRE3,CYR3E,OP,P,14.91,-17400,1.86,BRL,1,2021-7-12
MGLU3,MGL3E,OP,P,8.89,-163000,2.03,BRL,1,2021-7-12
PETR4,PTR4E,OP,P,29.74,-64000,1.16,BRL,1,2021-7-12
USIM5,USIME,OP,P,12.82,-39100,0.41,BRL,1,2021-7-12
CSNA3,CSN3A,OP,C,27.5,23000,0.32,BRL,1,2022-1-1
PETR4,PTR4A,OP,C,29.1,776200,2.06,BRL,1,2022-1-1
ELET3,ELE3E,OP,P,36.05,38500,3.5,BRL,1,2021-7-12
JBSS3,JBS3A,OP,C,37.48,1700,0.79,BRL,1,2022-1-1
CYRE3,CYR3E,OP,P,14,58100,1.54,BRL,1,2022-1-1
VIIA3,VIA3E,OP,P,8,-83000,2.77,BRL,1,2021-7-12
MGLU3,MGL3E,OP,P,6.99,-63400,0.73,BRL,1,2022-1-1
VALE3,VAL3E,OP,P,83.97,100,13.4,BRL,1,2022-1-1
MGLU3,MGL3E,OP,C,14.99,118900,0.01,BRL,1,2021-7-12
MGLU3,MGL3E,OP,P,21.74,5300,14.59,BRL,1,2022-1-1
JBSS3,JBS3A,OP,C,43.98,1200,0.01,BRL,1,2021-7-12
BRAP4,BRA4A,OP,C,46,5200,5.5,BRL,1,2022-1-1
MGLU3,MGL3E,OP,C,16.99,1300,0.01,BRL,1,2021-7-12
BRAP4,BRA4E,OP,P,48.5,-2700,1.99,BRL,1,2022-1-1
BBAS3,BBASA,OP,C,29.21,51400,3.22,BRL,1,2022-1-1
EGIE1,EGE3A,OP,C,39.5,-8400,0.34,BRL,1,2021-7-12
B3SA3,B3SAE,OP,P,16.31,21000,5.24,BRL,1,2021-7-12
ABEV3,ABV3E,OP,C,12.32,-100,3.59,BRL,1,2021-7-12
TAE11,TAE1E,OP,P,35.5,2400,0.46,BRL,1,2021-7-12
VALE3,VAL3A,OP,C,45.47,1400,31.15,BRL,1,2022-6-12
BRML3,BRM3A,OP,C,8.8,-69800,0.2,BRL,1,2022-1-1
PETR4,PTR4E,OP,C,36.99,24300,0.01,BRL,1,2021-7-12
BBAS3,BBASE,OP,P,36.62,10900,5.24,BRL,1,2021-7-12
JBSS3,JBS3E,OP,P,30.73,-300,0.66,BRL,1,2022-1-1
VIVT3,VVI3E,OP,C,47.13,-500,3.1,BRL,1,2021-7-12
MRFG3,MRF3E,OP,P,26,-15100,4.11,BRL,1,2022-1-1
VALE3,VAL3A,OP,C,64.47,-208300,6.85,BRL,1,2021-7-12
MULT3,MULT3,ST,,,95200,19.22,BRL,1,
VALE3,VAL3E,OP,C,78.97,302600,0.32,BRL,1,2021-7-12
BRAP4,BRA4E,OP,P,46.16,-2300,0.61,BRL,1,2021-7-12
ABEV3,ABV3E,OP,C,18.82,900,0.01,BRL,1,2021-7-12
ITUB4,ITB4E,OP,P,19.16,10300,0.05,BRL,1,2021-7-12
RADL3,RAL3A,OP,C,22.4,5400,0.9,BRL,1,2022-1-1
VBBR3,VBB3A,OP,C,23.22,-43000,0.15,BRL,1,2021-7-12
B3SA3,B3SAE,OP,C,16.06,142600,0.01,BRL,1,2021-7-12
VALE3,VAL3A,OP,C,95.47,21100,0.01,BRL,1,2021-7-12
MGLU3,MGL3E,OP,P,7.09,-157200,0.6,BRL,1,2021-7-12
MGLU3,MGL3E,OP,P,13.99,133500,7.05,BRL,1,2021-7-12
ABEV3,ABV3E,OP,C,20.82,10000,0.01,BRL,1,2021-7-12
CYRE3,CYR3A,OP,C,15,-78700,0.57,BRL,1,2022-1-1
EQTL3,EQT3E,OP,P,22.5,10600,0.86,BRL,1,2022-1-1
GGBR4,GGB4E,OP,P,20.15,58200,0.03,BRL,1,2021-7-12
VALE3,VAL3E,OP,P,84.61,-5000,14.3,BRL,1,2022-4-4
VALE3,VAL3E,OP,P,81.61,37600,12.14,BRL,1,2022-4-4
VALE3,VAL3E,OP,P,55.47,78300,0.1,BRL,1,2021-7-12
ITUB4,ITB4E,OP,P,22.41,-314700,0.7,BRL,1,2021-7-12
B3SA3,B3SAA,OP,C,15.81,29800,0.01,BRL,1,2021-7-12
EQTL3,EQT3A,OP,C,25,20000,0.33,BRL,1,2022-1-1
VBBR3,VBB3A,OP,C,26.22,50400,0.01,BRL,1,2021-7-12
PETR4,PTR4E,OP,C,26.35,3000,4,BRL,1,2022-1-1
KLBN1,KLB1A,OP,C,25.4,17800,0.25,BRL,1,2021-7-12
VALE3,VAL3A,OP,C,53.21,-10500,22.95,BRL,1,2022-9-8
VIIA3,VIA3E,OP,P,16.5,20100,11.23,BRL,1,2021-7-12
TAE11,TAE1E,OP,P,34.5,2400,0.23,BRL,1,2021-7-12
BOV11,BOV9A,OP,C,90,15399,8,BRL,1,2021-7-12
VALE3,VAL3E,OP,P,118.47,35900,47.77,BRL,1,2021-7-12
BOV11,BOV9E,OP,P,97,-3079,3.69,BRL,1,2022-1-1
BRKM5,BRK5A,OP,C,50,5200,4.33,BRL,1,2021-7-12
VALE3,VAL3E,OP,P,93.47,-10000,22.24,BRL,1,2022-1-1
MULT3,MUL3A,OP,C,20,82900,0.51,BRL,1,2021-7-12
PETR4,PTR4E,OP,P,28.1,-4900,2.18,BRL,1,2022-5-7
VBBR3,VBB3A,OP,C,22,-70200,0.99,BRL,1,2022-1-1
MGLU3,MGL3E,OP,P,14.49,27900,7.55,BRL,1,2021-7-12
BBDC4,BDC4E,OP,P,25.32,70220,5.4,BRL,1,2021-7-12
VIIA3,VIA3E,OP,P,15.75,36900,10.49,BRL,1,2021-7-12
PETR4,PTR4E,OP,C,31.49,-272300,0.36,BRL,1,2021-7-12
CSNA3,CSN3A,OP,C,24.73,-10500,0.22,BRL,1,2021-7-12
HYPE,HYP3E,OP,P,27.5,100,1.51,BRL,1,2022-1-1
BRAP4,BRA4E,OP,P,46,-19500,1.22,BRL,1,2022-1-1
BRML3,BRM3E,OP,P,8.2,133000,0.63,BRL,1,2021-7-12
PETR3,PTR3A,OP,C,28,-13900,3.42,BRL,1,2022-1-1
MGLU3,MGL3E,OP,P,17.49,13500,10.54,BRL,1,2021-7-12
VIIA3,VIA3E,OP,P,4.1,115700,0.06,BRL,1,2021-7-12
PETR4,PTR4A,OP,C,38.1,-100,0.4,BRL,1,2022-8-3
VALE3,VAL3A,OP,C,77.47,-89900,0.48,BRL,1,2021-7-12
GGBR4,GGB4A,OP,C,26.9,87800,0.72,BRL,1,2021-7-12
PETR4,PTR4A,OP,C,13.74,-272000,15.91,BRL,1,2021-7-12
VIIA3,VIA3E,OP,C,7.3,73400,0.02,BRL,1,2021-7-12
ITUB4,ITB4A,OP,C,22.66,-149100,0.49,BRL,1,2021-7-12
VALE3,VAL3E,OP,P,66.21,2700,4.74,BRL,1,2022-5-7
LAME4,LAM4E,OP,P,5.6,-34200,0.65,BRL,1,2021-7-12
BBAS3,BBASE,OP,P,34.12,900,2.92,BRL,1,2021-7-12
VALE3,VAL3E,OP,C,86.47,9000,0.07,BRL,1,2021-7-12
TAE11,TAE1E,OP,P,36,9300,0.66,BRL,1,2021-7-12
MGLU3,MGL3E,OP,P,20.99,10900,14.03,BRL,1,2021-7-12
BBAS3,BBASE,OP,P,36.87,27300,5.48,BRL,1,2021-7-12
CIEL3,CIL3E,OP,P,2.66,129600,0.64,BRL,1,2021-7-12
MULT3,MUL3E,OP,P,21.5,6500,2.6,BRL,1,2022-1-1
VIIA3,VIA3E,OP,P,5.4,-26700,0.62,BRL,1,2022-1-1
VIIA3,VIA3E,OP,P,7.2,-145200,1.98,BRL,1,2021-7-12
BBDC4,BDC4E,OP,P,23.55,25900,3.65,BRL,1,2021-7-12
PETR4,PTR4E,OP,P,27.35,-4800,1.34,BRL,1,2022-8-3
VALE3,VAL3E,OP,P,70.47,-152300,3.99,BRL,1,2022-1-1
BRML3,BRM3E,OP,P,8.6,-58300,1.03,BRL,1,2022-1-1
UGPA3,UGP3E,OP,C,13.05,-1000,1.15,BRL,1,2021-7-12
HYPE,HYP3A,OP,C,28.5,-6800,0.76,BRL,1,2022-1-1
CSNA3,CSN3A,OP,C,20.73,23800,1.65,BRL,1,2021-7-12
BOV11,BOV9E,OP,C,111,75185,0.5,BRL,1,2022-1-1
JBSS3,JBS3A,OP,C,42.98,3100,0.01,BRL,1,2021-7-12
ABEV3,ABV3E,OP,C,19.25,100,0.05,BRL,1,2022-1-1
BRAP4,BRA4E,OP,P,46.5,-2000,1.35,BRL,1,2022-1-1
BBDC4,BDC4A,OP,C,20.77,-170390,0.3,BRL,1,2021-7-12
YDUQ3,YDU3A,OP,C,27.5,-3000,0.07,BRL,1,2021-7-12
EGIE1,EGE3E,OP,C,41.75,100,0.3,BRL,1,2022-1-1
VIIA3,VIA3E,OP,P,26.75,-1100,21.44,BRL,1,2021-7-12
GGBR4,GGB4E,OP,P,23.65,-16200,0.28,BRL,1,2021-7-12
VIIA3,VIA3E,OP,P,13.25,1000,7.89,BRL,1,2022-1-1
SANB1,SAN1E,OP,P,32.2,300,1.41,BRL,1,2022-1-1
CSNA3,CSN3E,OP,C,23.98,4900,0.33,BRL,1,2021-7-12
TAE11,TAE1A,OP,C,36,-29000,1.45,BRL,1,2022-1-1
TAE11,TAE1A,OP,C,37.5,-21300,0.16,BRL,1,2021-7-12
B3SA3,B3SAE,OP,P,17.81,800,6.34,BRL,1,2022-8-3
MGLU3,MGL3E,OP,P,11.74,500,4.82,BRL,1,2021-7-12
VALE3,VAL3E,OP,P,79.61,10700,10.78,BRL,1,2022-4-4
VALE3,VAL3E,OP,P,75.97,9700,6.15,BRL,1,2021-7-12
ITUB4,ITB4E,OP,P,28.49,321300,5.94,BRL,1,2022-1-1
ABEV3,ABV3E,OP,C,19.5,1200,0.3,BRL,1,2022-4-4
VIVT3,VVI3A,OP,C,44.38,2300,5.78,BRL,1,2021-7-12
CSNA3,CSN3A,OP,C,29.73,5600,0.02,BRL,1,2021-7-12
VIIA3,VIA3A,OP,C,5.6,70100,0.39,BRL,1,2022-1-1
MGLU3,MGL3A,OP,C,14.74,25400,0.01,BRL,1,2021-7-12
VIIA3,VIA3E,OP,P,5.92,50000,1,BRL,1,2022-8-2
VIVT3,VVI3A,OP,C,47.38,100,2.87,BRL,1,2021-7-12
VALE3,VAL3A,OP,C,70.47,-96400,4.55,BRL,1,2022-1-1
VBBR3,VBB3A,OP,C,20.72,-19200,1.04,BRL,1,2021-7-12
VIIA3,VIA3E,OP,C,7.5,19700,0.02,BRL,1,2021-7-12
PETR4,PTR4E,OP,P,22.99,-132600,0.08,BRL,1,2021-7-12
B3SA3,B3SAA,OP,C,18.56,-10000,0.01,BRL,1,2021-7-12
EMBR3,EMB3A,OP,C,26.5,-100,0.02,BRL,1,2021-7-12
GGBR4,GGB4A,OP,C,23.9,2000,2.64,BRL,1,2021-7-12
ABEV3,ABV3E,OP,C,17.32,-34900,0.06,BRL,1,2021-7-12
BBDC3,BDC3E,OP,P,18.49,2000,1.75,BRL,1,2022-1-1
VALE3,VAL3E,OP,C,51.97,100,18.5,BRL,1,2021-7-12
BBDC4,BDC4A,OP,C,22.64,125300,0.04,BRL,1,2021-7-12
BBDC4,BDC4E,OP,C,19.84,14800,1.19,BRL,1,2022-1-1
PETR4,PTR4E,OP,P,21.24,64500,0.02,BRL,1,2021-7-12
BRAP4,BRA4E,OP,P,50,1000,2.63,BRL,1,2022-1-1
VALE3,VAL3E,OP,P,61.47,191100,1.28,BRL,1,2022-1-1
B3SA3,B3SAA,OP,C,13.56,-128400,0.02,BRL,1,2021-7-12
RADL3,RAL3E,OP,P,22.9,-1800,1.56,BRL,1,2022-1-1
EGIE1,EGE3A,OP,C,41,6300,0.08,BRL,1,2021-7-12
USIM5,USIME,OP,P,11.82,-21500,0.19,BRL,1,2021-7-12
XLV,XLV,OP,P,134.33,-66,6.025,USD,100,2022-1-1
VALE3,VAL3E,OP,P,80.61,13500,11.45,BRL,1,2022-4-4
JBSS3,JBS3E,OP,P,34.48,-1300,1.94,BRL,1,2022-1-1
VALE3,VAL3E,OP,C,54.97,500,15.57,BRL,1,2021-7-12
VIIA3,VIA3E,OP,P,7.7,15900,2.5,BRL,1,2022-1-1
BBDC4,BDC4A,OP,C,25.95,-4500,0.04,BRL,1,2022-1-1
BBDC4,BDC4E,OP,P,28.05,1000,8.11,BRL,1,2021-7-12
BBAS3,BBASE,OP,P,32.71,-1800,2.2,BRL,1,2022-1-1
0QF,MRNA,OP,P,265,200,4.725,USD,100,2021-7-12
USIM5,USIMA,OP,C,15.96,-12100,0.37,BRL,1,2022-1-1
VALE3,VAL3E,OP,P,60.97,-82500,0.41,BRL,1,2021-7-12
PETR4,PTR4E,OP,P,30.49,38000,1.58,BRL,1,2021-7-12
ITUB4,ITB4E,OP,P,28.66,79400,6.33,BRL,1,2021-7-12
BRKM5,BRK5A,OP,C,49.5,1900,4.69,BRL,1,2021-7-12
YDUQ3,YDU3A,OP,C,23,-2300,0.7,BRL,1,2021-7-12
BRAP4,BRA4E,OP,P,51,6400,3.13,BRL,1,2022-1-1
VIIA3,VIA3E,OP,P,13,-14400,7.64,BRL,1,2022-1-1
YDUQ3,YDU3E,OP,P,27,-4000,5.11,BRL,1,2021-7-12
ABEV3,ABV3E,OP,C,16.75,-21900,0.44,BRL,1,2022-1-1
ITUB4,ITB4A,OP,C,30.16,-900,0.01,BRL,1,2021-7-12
BBAS3,BBASA,OP,C,34.71,7000,0.59,BRL,1,2022-1-1
VIIA3,VIA3A,OP,C,8.6,-59700,0.01,BRL,1,2021-7-12
VBBR3,VBB3A,OP,C,23.72,10400,0.1,BRL,1,2021-7-12
YDUQ3,YDU3A,OP,C,21,-12400,1.7,BRL,1,2021-7-12
BRAP4,BRA4E,OP,P,50.16,5000,1.87,BRL,1,2021-7-12
VIIA3,VIA3E,OP,P,14.75,-41200,9.49,BRL,1,2021-7-12
RADL3,RAL3E,OP,P,23.37,-49400,1.68,BRL,1,2021-7-12
MGLU3,MGL3A,OP,C,7.89,27900,0.41,BRL,1,2022-1-1
GGBR4,GGB4E,OP,P,23.4,-36200,0.25,BRL,1,2021-7-12
MGLU3,MGL3E,OP,P,11.99,158900,5.06,BRL,1,2021-7-12
PETR4,PTR4E,OP,P,38.49,200,8.81,BRL,1,2021-7-12
HYPE,HYP3A,OP,C,30.5,7900,0.31,BRL,1,2022-1-1
EQTL3,EQTL3,ST,,,260900,22.65,BRL,1,
GGBR4,GGB4E,OP,P,22.4,70800,0.15,BRL,1,2021-7-12
ELET6,ELE6E,OP,P,45.5,100,13.28,BRL,1,2021-7-12
VALE3,VAL3E,OP,C,61.97,2400,9.04,BRL,1,2021-7-12
0QF,MRNA,OP,C,360,13,6.5,USD,100,2021-7-12
YDUQ3,YDU3A,OP,C,21.5,23500,2.19,BRL,1,2022-1-1
BBAS3,BBASA,OP,C,30.21,16500,2.52,BRL,1,2022-1-1
BRAP4,BRA4A,OP,C,46.16,-9200,4.45,BRL,1,2021-7-12
ELET3,ELE3E,OP,P,38.55,1300,5.85,BRL,1,2021-7-12
PETR4,PTR4E,OP,P,22.24,29300,0.05,BRL,1,2021-7-12
GOAU4,GOA4A,OP,C,11.29,25200,0.53,BRL,1,2022-1-1
PETR4,PTR4A,OP,C,19.24,-3000,10.44,BRL,1,2021-7-12
VBBR3,VBB3E,OP,C,25.97,-25000,0.02,BRL,1,2021-7-12
LAME4,LAM4E,OP,P,6.3,10000,1.23,BRL,1,2021-7-12
BRFS3,BRF3E,OP,P,22.5,32000,3.33,BRL,1,2022-1-1
MGLU3,MGL3E,OP,P,14.99,5200,7.93,BRL,1,2022-1-1
BBDC4,BDC4E,OP,P,21.68,93280,1.88,BRL,1,2021-7-12
YDUQ3,YDU3A,OP,C,26.5,-104600,0.11,BRL,1,2021-7-12
SANB1,SAN1E,OP,P,34.2,500,1.98,BRL,1,2021-7-12
BBAS3,BBASE,OP,P,26.21,9900,0.28,BRL,1,2022-1-1
BOV11,BOV9A,OP,C,124,-25000,0.1,BRL,1,2022-8-2
BBDC4,BDC4E,OP,P,20.07,-7500,0.73,BRL,1,2021-7-12
VALE3,VAL3A,OP,C,105.47,7100,0.03,BRL,1,2022-1-1
ABEV3,ABV3E,OP,C,17.82,-52700,0.03,BRL,1,2021-7-12
VALE3,VAL3E,OP,P,95.47,-122900,24.18,BRL,1,2022-1-1
VALE3,VAL3E,OP,P,107.61,-8500,34.11,BRL,1,2022-4-4
VIIA3,VIA3E,OP,P,10,71300,4.71,BRL,1,2022-1-1
PCAR3,PCA3E,OP,P,22,-15500,0.97,BRL,1,2021-7-12
VALE3,VAL3E,OP,P,99.61,-100,26.8,BRL,1,2022-4-4
VIIA3,VIA3A,OP,C,5.4,500,0.47,BRL,1,2022-1-1
CIEL3,CIL3E,OP,P,3.76,200,1.74,BRL,1,2021-7-12
VALE3,VAL3E,OP,P,84.97,8600,14.47,BRL,1,2021-7-12
JBSS3,JBS3E,OP,P,35.73,800,2.64,BRL,1,2022-1-1
EMBR3,EMB3A,OP,C,12,93600,6.54,BRL,1,2022-1-1
GGBR4,GGB4E,OP,P,24.28,25000,0.85,BRL,1,2022-1-1
JBSS3,JBS3A,OP,C,34.48,-400,1.03,BRL,1,2021-7-12
PETR4,PTR4A,OP,C,25.1,-300,5.06,BRL,1,2022-1-1
MGLU3,MGL3E,OP,P,8.49,17600,1.74,BRL,1,2022-1-1
VIIA3,VIA3E,OP,P,8.4,-15300,3.17,BRL,1,2021-7-12
CSNA3,CSN3A,OP,C,32.23,-19100,0.01,BRL,1,2021-7-12
ELET3,ELE3E,OP,P,33.05,300,1.28,BRL,1,2021-7-12
EMBR3,EMB3E,OP,P,21.5,73200,3.32,BRL,1,2021-7-12
USIM5,USIME,OP,P,14.32,-36200,1.2,BRL,1,2021-7-12
VALE3,VAL3E,OP,P,135.47,1000,63.54,BRL,1,2022-1-1
ABEV3,ABV3E,OP,P,14.07,147100,0.05,BRL,1,2021-7-12
BBDC3,BDC3E,OP,C,22.11,-100,0.01,BRL,1,2021-7-12
VIIA3,VIA3E,OP,P,7.6,-26100,2.38,BRL,1,2021-7-12
ABEV3,ABV3E,OP,C,19.15,500,0.15,BRL,1,2022-8-2
VALE3,VAL3A,OP,C,60.47,-5000,11.51,BRL,1,2022-1-1
VBBR3,VBB3E,OP,P,24.22,21400,3.02,BRL,1,2021-7-12
MRFG3,MRF3A,OP,C,27.6,-32100,0.03,BRL,1,2021-7-12
YDUQ3,YDU3A,OP,C,21.5,37500,1.39,BRL,1,2021-7-12
BBDC3,BDC3E,OP,P,17.99,-22000,1.41,BRL,1,2022-1-1
VALE3,VAL3E,OP,P,83.47,-16600,12.96,BRL,1,2022-1-1
ELET3,ELE3E,OP,P,34.05,20000,2.41,BRL,1,2022-1-1
B3SA3,B3SAE,OP,P,22.6,100,11.31,BRL,1,2022-1-1
VALE3,VAL3E,OP,P,73.47,-29000,4.29,BRL,1,2021-7-12
ELET6,ELE6A,OP,C,32,-12000,1.19,BRL,1,2021-7-12
USIM5,USIME,OP,P,13.57,21000,0.73,BRL,1,2021-7-12
VALE3,VAL3E,OP,P,71.61,-5000,6.19,BRL,1,2022-4-4
PETR4,PTR4E,OP,P,27.85,-42300,0.96,BRL,1,2022-1-1
ELET3,ELE3A,OP,C,51.05,1500,0.01,BRL,1,2021-7-12
ITUB4,ITB4A,OP,C,27.66,-2100,0.01,BRL,1,2021-7-12
USIM5,USIME,OP,C,14.07,-49900,0.43,BRL,1,2021-7-12
ITUB4,ITB4E,OP,C,22.91,-1300,0.39,BRL,1,2021-7-12
BRKM5,BRK5A,OP,C,76,100,0.01,BRL,1,2021-7-12
MGLU3,MGL3E,OP,P,7.79,52900,1.07,BRL,1,2021-7-12
